location_name,alias,type,method
福田区,0,区及功能区,深圳地名词典
罗湖区,0,区及功能区,深圳地名词典
盐田区,0,区及功能区,深圳地名词典
南山区,0,区及功能区,深圳地名词典
宝安区,0,区及功能区,深圳地名词典
龙岗区,0,区及功能区,深圳地名词典
龙华区,0,区及功能区,深圳地名词典
坪山区,0,区及功能区,深圳地名词典
光明区,0,区及功能区,深圳地名词典
大鹏新区,0,区及功能区,深圳地名词典
桂园街道,0,区及功能区,深圳地名词典
黄贝街道,0,街道及办事处,深圳地名词典
翠竹街道,0,街道及办事处,深圳地名词典
东门街道,0,街道及办事处,深圳地名词典
南湖街道,0,街道及办事处,深圳地名词典
东湖街道,0,街道及办事处,深圳地名词典
笋岗街道,0,街道及办事处,深圳地名词典
莲塘街道,0,街道及办事处,深圳地名词典
清水河街道,0,街道及办事处,深圳地名词典
东晓街道,0,街道及办事处,深圳地名词典
南园街道,0,街道及办事处,深圳地名词典
福田街道,0,街道及办事处,深圳地名词典
园岭街道,0,街道及办事处,深圳地名词典
沙头街道,0,街道及办事处,深圳地名词典
梅林街道,0,街道及办事处,深圳地名词典
香蜜湖街道,0,街道及办事处,深圳地名词典
华富街道,0,街道及办事处,深圳地名词典
莲花街道,0,街道及办事处,深圳地名词典
华强北街道,0,街道及办事处,深圳地名词典
福保街道,0,街道及办事处,深圳地名词典
南山街道,0,街道及办事处,深圳地名词典
南头街道,0,街道及办事处,深圳地名词典
沙河街道,0,街道及办事处,深圳地名词典
招商街道,0,街道及办事处,深圳地名词典
蛇口街道,0,街道及办事处,深圳地名词典
粤海街道,0,街道及办事处,深圳地名词典
西丽街道,0,街道及办事处,深圳地名词典
桃源街道,0,街道及办事处,深圳地名词典
新安街道,0,街道及办事处,深圳地名词典
福永街道,0,街道及办事处,深圳地名词典
西乡街道,0,街道及办事处,深圳地名词典
松岗街道,0,街道及办事处,深圳地名词典
沙井街道,0,街道及办事处,深圳地名词典
燕罗街道,0,街道及办事处,深圳地名词典
石岩街道,0,街道及办事处,深圳地名词典
新桥街道,0,街道及办事处,深圳地名词典
福海街道,0,街道及办事处,深圳地名词典
航城街道,0,街道及办事处,深圳地名词典
横岗街道,0,街道及办事处,深圳地名词典
平湖街道,0,街道及办事处,深圳地名词典
布吉街道,0,街道及办事处,深圳地名词典
龙岗街道,0,街道及办事处,深圳地名词典
坪地街道,0,街道及办事处,深圳地名词典
龙城街道,0,街道及办事处,深圳地名词典
南湾街道,0,街道及办事处,深圳地名词典
坂田街道,0,街道及办事处,深圳地名词典
吉华街道,0,街道及办事处,深圳地名词典
梅沙街道,0,街道及办事处,深圳地名词典
园山街道,0,街道及办事处,深圳地名词典
宝龙街道,0,街道及办事处,深圳地名词典
盐田街道,0,街道及办事处,深圳地名词典
海山街道,0,街道及办事处,深圳地名词典
沙头角街道,0,街道及办事处,深圳地名词典
中英街管理局,0,街道及办事处,深圳地名词典
龙华街道,0,街道及办事处,深圳地名词典
观湖街道,0,街道及办事处,深圳地名词典
民治街道,0,街道及办事处,深圳地名词典
大浪街道,0,街道及办事处,深圳地名词典
坪山街道,0,街道及办事处,深圳地名词典
福城街道,0,街道及办事处,深圳地名词典
观澜街道,0,街道及办事处,深圳地名词典
坑梓街道,0,街道及办事处,深圳地名词典
石井街道,0,街道及办事处,深圳地名词典
马峦街道,0,街道及办事处,深圳地名词典
龙田街道,0,街道及办事处,深圳地名词典
碧岭街道,0,街道及办事处,深圳地名词典
光明街道,0,街道及办事处,深圳地名词典
新湖街道,0,街道及办事处,深圳地名词典
玉塘街道,0,街道及办事处,深圳地名词典
公明街道,0,街道及办事处,深圳地名词典
凤凰街道,0,街道及办事处,深圳地名词典
马田街道,0,街道及办事处,深圳地名词典
大鹏办事处,0,街道及办事处,深圳地名词典
葵涌办事处,0,街道及办事处,深圳地名词典
南澳办事处,0,街道及办事处,深圳地名词典
湖贝社区居委会,0,街道及办事处,深圳地名词典
社区居委会,0,街道及办事处,深圳地名词典
人民桥社区居委会,0,街道及办事处,深圳地名词典
螺岭社区居委会,0,街道及办事处,深圳地名词典
东门社区居委会,0,街道及办事处,深圳地名词典
罗芳社区居委会,0,街道及办事处,深圳地名词典
百仕达社区居委会,0,街道及办事处,深圳地名词典
文华社区居委会,0,街道及办事处,深圳地名词典
水贝社区居委会,0,街道及办事处,深圳地名词典
水库社区居委会,0,街道及办事处,深圳地名词典
文锦社区居委会,0,街道及办事处,深圳地名词典
向西社区居委会,0,街道及办事处,深圳地名词典
梧桐山社区居委会,0,街道及办事处,深圳地名词典
渔邨社区居委会,0,街道及办事处,深圳地名词典
坳下社区居委会,0,街道及办事处,深圳地名词典
田心社区居委会,0,街道及办事处,深圳地名词典
长岭社区居委会,0,街道及办事处,深圳地名词典
田贝社区居委会,0,街道及办事处,深圳地名词典
莲塘社区居委会,0,街道及办事处,深圳地名词典
笋岗社区居委会,0,街道及办事处,深圳地名词典
独树社区居委会,0,街道及办事处,深圳地名词典
大望社区居委会,0,街道及办事处,深圳地名词典
木棉岭社区居委会,0,街道及办事处,深圳地名词典
南园社区居委会（福田）,0,街道及办事处,深圳地名词典
草埔东社区居委会,0,街道及办事处,深圳地名词典
下步庙社区居委会,0,街道及办事处,深圳地名词典
坭岗社区居委会,0,街道及办事处,深圳地名词典
滨河社区居委会,0,街道及办事处,深圳地名词典
清水河社区居委会,0,街道及办事处,深圳地名词典
巴登社区居委会,0,街道及办事处,深圳地名词典
赤尾社区居委会,0,街道及办事处,深圳地名词典
玉田社区居委会,0,街道及办事处,深圳地名词典
沙埔头社区居委会,0,街道及办事处,深圳地名词典
口岸社区居委会,0,街道及办事处,深圳地名词典
下沙社区居委会,0,街道及办事处,深圳地名词典
岗厦社区居委会,0,街道及办事处,深圳地名词典
新洲社区居委会,0,街道及办事处,深圳地名词典
皇岗社区居委会,0,街道及办事处,深圳地名词典
香蜜社区居委会,0,街道及办事处,深圳地名词典
渔农社区居委会,0,街道及办事处,深圳地名词典
竹林社区居委会,0,街道及办事处,深圳地名词典
水围社区居委会,0,街道及办事处,深圳地名词典
香梅社区居委会,0,街道及办事处,深圳地名词典
莲花二村社区居委会,0,街道及办事处,深圳地名词典
上梅社区居委会,0,街道及办事处,深圳地名词典
田面社区居委会,0,街道及办事处,深圳地名词典
景田社区居委会,0,街道及办事处,深圳地名词典
通新岭社区居委会,0,街道及办事处,深圳地名词典
彩田社区居委会,0,街道及办事处,深圳地名词典
莲花北社区居委会,0,街道及办事处,深圳地名词典
益田社区居委会,0,街道及办事处,深圳地名词典
石厦社区居委会,0,街道及办事处,深圳地名词典
笔架山社区居委会,0,街道及办事处,深圳地名词典
南头城社区居委会,0,街道及办事处,深圳地名词典
向南社区居委会,0,街道及办事处,深圳地名词典
南山社区居委会,0,街道及办事处,深圳地名词典
前海社区居委会,0,街道及办事处,深圳地名词典
白石洲东社区居委会,0,街道及办事处,深圳地名词典
大新社区居委会,0,街道及办事处,深圳地名词典
莲城社区居委会,0,街道及办事处,深圳地名词典
南水社区居委会,0,街道及办事处,深圳地名词典
南园社区居委会（南山）,0,街道及办事处,深圳地名词典
湾厦社区居委会,0,街道及办事处,深圳地名词典
内伶仃岛社区居委会,0,街道及办事处,深圳地名词典
粤桂社区居委会,0,街道及办事处,深圳地名词典
赤湾社区居委会,0,街道及办事处,深圳地名词典
大冲社区居委会,0,街道及办事处,深圳地名词典
深圳大学社区居委会,0,街道及办事处,深圳地名词典
大学城社区居委会,0,街道及办事处,深圳地名词典
高新区社区居委会,0,街道及办事处,深圳地名词典
后海社区居委会,0,街道及办事处,深圳地名词典
塘朗社区居委会,0,街道及办事处,深圳地名词典
科技园社区居委会,0,街道及办事处,深圳地名词典
上合社区居委会,0,街道及办事处,深圳地名词典
黄麻布社区居委会,0,街道及办事处,深圳地名词典
翻身社区居委会,0,街道及办事处,深圳地名词典
黄田社区居委会,0,街道及办事处,深圳地名词典
大浪社区居委会,0,街道及办事处,深圳地名词典
三围社区居委会,0,街道及办事处,深圳地名词典
甲岸社区居委会,0,街道及办事处,深圳地名词典
鹤洲社区居委会,0,街道及办事处,深圳地名词典
凤凰社区居委会,0,街道及办事处,深圳地名词典
钟屋社区居委会,0,街道及办事处,深圳地名词典
固戍社区居委会,0,街道及办事处,深圳地名词典
乐群社区居委会,0,街道及办事处,深圳地名词典
稔田社区居委会,0,街道及办事处,深圳地名词典
九围社区居委会,0,街道及办事处,深圳地名词典
怀德社区居委会,0,街道及办事处,深圳地名词典
塘尾社区居委会（宝安）,0,街道及办事处,深圳地名词典
后瑞社区居委会,0,街道及办事处,深圳地名词典
新和社区居委会,0,街道及办事处,深圳地名词典
黄埔社区居委会,0,街道及办事处,深圳地名词典
和平社区居委会,0,街道及办事处,深圳地名词典
壆岗社区居委会,0,街道及办事处,深圳地名词典
桥头社区居委会,0,街道及办事处,深圳地名词典
万丰社区居委会,0,街道及办事处,深圳地名词典
辛养社区居委会,0,街道及办事处,深圳地名词典
新桥社区居委会,0,街道及办事处,深圳地名词典
衙边社区居委会,0,街道及办事处,深圳地名词典
红星社区居委会,0,街道及办事处,深圳地名词典
松岗社区居委会,0,街道及办事处,深圳地名词典
东方社区居委会,0,街道及办事处,深圳地名词典
罗田社区居委会,0,街道及办事处,深圳地名词典
洪桥头社区居委会,0,街道及办事处,深圳地名词典
沙浦围社区居委会,0,街道及办事处,深圳地名词典
山门社区居委会,0,街道及办事处,深圳地名词典
潭头社区居委会,0,街道及办事处,深圳地名词典
燕川社区居委会,0,街道及办事处,深圳地名词典
浪心社区居委会,0,街道及办事处,深圳地名词典
罗租社区居委会,0,街道及办事处,深圳地名词典
下排社区居委会,0,街道及办事处,深圳地名词典
上下屋社区居委会,0,街道及办事处,深圳地名词典
新田社区居委会,0,街道及办事处,深圳地名词典
龙眼山社区居委会,0,街道及办事处,深圳地名词典
横岗社区居委会,0,街道及办事处,深圳地名词典
石岩社区居委会,0,街道及办事处,深圳地名词典
安良社区居委会,0,街道及办事处,深圳地名词典
布吉社区居委会,0,街道及办事处,深圳地名词典
大康社区居委会,0,街道及办事处,深圳地名词典
甘坑社区居委会,0,街道及办事处,深圳地名词典
西坑社区居委会,0,街道及办事处,深圳地名词典
大芬社区居委会,0,街道及办事处,深圳地名词典
荷坳社区居委会,0,街道及办事处,深圳地名词典
山厦社区居委会,0,街道及办事处,深圳地名词典
保安社区居委会,0,街道及办事处,深圳地名词典
平湖社区居委会,0,街道及办事处,深圳地名词典
新南社区居委会,0,街道及办事处,深圳地名词典
黄阁坑社区居委会,0,街道及办事处,深圳地名词典
南联社区居委会,0,街道及办事处,深圳地名词典
紫薇社区新亚洲居委会,0,街道及办事处,深圳地名词典
宝龙社区居委会,0,街道及办事处,深圳地名词典
马安堂社区居委会,0,街道及办事处,深圳地名词典
盛平社区居委会,0,街道及办事处,深圳地名词典
四季花城社区居委会,0,街道及办事处,深圳地名词典
爱联社区爱联居委会,0,街道及办事处,深圳地名词典
杨美社区杨美居委会,0,街道及办事处,深圳地名词典
沙湾社区居委会,0,街道及办事处,深圳地名词典
雪象社区居委会,0,街道及办事处,深圳地名词典
上李朗社区居委会,0,街道及办事处,深圳地名词典
坂田社区坂田围居委会,0,街道及办事处,深圳地名词典
小梅沙社区居委会,0,街道及办事处,深圳地名词典
南岭村社区居委会,0,街道及办事处,深圳地名词典
大梅沙社区居委会,0,街道及办事处,深圳地名词典
丹竹头社区居委会,0,街道及办事处,深圳地名词典
盐田社区居委会,0,街道及办事处,深圳地名词典
章阁社区居委会,0,街道及办事处,深圳地名词典
沙头角社区居委会,0,街道及办事处,深圳地名词典
茜坑社区居委会,0,街道及办事处,深圳地名词典
中英街社区居委会,0,街道及办事处,深圳地名词典
马坜社区居委会,0,街道及办事处,深圳地名词典
桂花社区居委会,0,街道及办事处,深圳地名词典
元墩头社区居委会,0,街道及办事处,深圳地名词典
松元厦社区居委会,0,街道及办事处,深圳地名词典
梧桐社区居委会,0,街道及办事处,深圳地名词典
富坑社区居委会,0,街道及办事处,深圳地名词典
谭罗社区居委会,0,街道及办事处,深圳地名词典
清湖社区居委会,0,街道及办事处,深圳地名词典
浪口社区居委会,0,街道及办事处,深圳地名词典
富康社区居委会,0,街道及办事处,深圳地名词典
石凹社区居委会,0,街道及办事处,深圳地名词典
赤岭头社区居委会,0,街道及办事处,深圳地名词典
下岭排社区居委会,0,街道及办事处,深圳地名词典
陶吓社区居委会,0,街道及办事处,深圳地名词典
龙胜社区居委会,0,街道及办事处,深圳地名词典
马峦社区居委会,0,街道及办事处,深圳地名词典
坪山社区居委会,0,街道及办事处,深圳地名词典
白石龙社区居委会,0,街道及办事处,深圳地名词典
石井社区居委会,0,街道及办事处,深圳地名词典
牛栏前社区居委会,0,街道及办事处,深圳地名词典
碧岭社区居委会,0,街道及办事处,深圳地名词典
樟坑社区居委会,0,街道及办事处,深圳地名词典
坑梓社区居委会,0,街道及办事处,深圳地名词典
北站社区居委会,0,街道及办事处,深圳地名词典
老坑社区居委会,0,街道及办事处,深圳地名词典
光明社区居委会,0,街道及办事处,深圳地名词典
龙田社区居委会,0,街道及办事处,深圳地名词典
白花社区居委会,0,街道及办事处,深圳地名词典
秀新社区居委会,0,街道及办事处,深圳地名词典
塘尾社区居委会（光明）,0,街道及办事处,深圳地名词典
碧眼社区居委会,0,街道及办事处,深圳地名词典
玉律社区居委会,0,街道及办事处,深圳地名词典
迳口社区居委会,0,街道及办事处,深圳地名词典
甲子塘社区居委会,0,街道及办事处,深圳地名词典
下村社区居委会,0,街道及办事处,深圳地名词典
楼村社区居委会,0,街道及办事处,深圳地名词典
将围社区居委会,0,街道及办事处,深圳地名词典
上村社区居委会,0,街道及办事处,深圳地名词典
坝光社区居委会,0,街道及办事处,深圳地名词典
李松蓢社区居委会,0,街道及办事处,深圳地名词典
官湖社区居委会,0,街道及办事处,深圳地名词典
合水口社区居委会,0,街道及办事处,深圳地名词典
土洋社区居委会,0,街道及办事处,深圳地名词典
南澳社区居委会,0,街道及办事处,深圳地名词典
岭澳社区居委会,0,街道及办事处,深圳地名词典
东涌社区居委会,0,街道及办事处,深圳地名词典
王母社区居委会,0,街道及办事处,深圳地名词典
南渔社区居委会,0,街道及办事处,深圳地名词典
鹏城社区居委会,0,街道及办事处,深圳地名词典
